model_key,model,family,size,is_edge,architecture,architecture_display,n_items,completude_mean,completude_ci_low,completude_ci_high,fidelidade_mean,fidelidade_ci_low,fidelidade_ci_high,rastreabilidade_mean,rastreabilidade_ci_low,rastreabilidade_ci_high,quality_mean,quality_ci_low,quality_ci_high,quality_S,quality_NS,quality_H,routing_accuracy,routing_ci_low,routing_ci_high,agent_match_rate,agent_ci_low,agent_ci_high,sql_match_rate,sql_ci_low,sql_ci_high,retrieval_precision_mean,retrieval_precision_ci_low,retrieval_precision_ci_high,retrieval_recall_mean,retrieval_recall_ci_low,retrieval_recall_ci_high,latency_mean,latency_ci_low,latency_ci_high,latency_median,input_tokens_mean,output_tokens_mean,total_tokens_mean
gpt,GPT-5,gpt,large,False,full,Completa,30,1.5666666666666667,1.3777777777777775,1.7444444444444442,1.666666666666667,1.5777777777777777,1.7555555555555555,1.9555555555555557,1.911111111111111,1.9888888888888892,1.7296296296296299,1.6407407407407404,1.8148148148148144,1.722222222222222,1.8111111111111113,1.6555555555555557,1.0,1.0,1.0,1.0,1.0,1.0,0.65,0.45,0.85,0.758,0.616,0.8915,0.9164999999999999,0.783,1.0,36.35766666666667,28.197133333333337,45.42234166666666,26.92,21642.4,2439.5666666666666,24081.966666666667
gpt,GPT-5,gpt,large,False,no-synthesizer,Sem Síntese,30,1.5444444444444445,1.3666666666666667,1.7111111111111112,1.8444444444444443,1.7777777777777777,1.9111111111111112,1.9555555555555555,1.911111111111111,1.9888888888888892,1.7814814814814814,1.7111111111111108,1.8518518518518514,1.8,1.8555555555555556,1.6888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.5,0.9,0.779,0.633,0.9125,0.9164999999999999,0.783,1.0,15.062333333333333,11.913558333333336,18.88268333333333,11.75,11987.566666666668,951.2333333333333,12938.8
gpt,GPT-5,gpt,large,False,no-verifier,Sem Verificação,30,1.5111111111111108,1.3111111111111111,1.688888888888889,1.6333333333333333,1.5333333333333334,1.722222222222222,1.9555555555555557,1.9111111111111112,1.9888888888888892,1.7,1.6185185185185182,1.774074074074074,1.6777777777777778,1.788888888888889,1.6333333333333335,0.9666666666666667,0.9,1.0,1.0,1.0,1.0,0.8,0.6,0.95,0.8,0.675,0.925,0.9164999999999999,0.783,1.0,18.197999999999997,14.7003,22.23471666666667,15.23,12906.033333333333,1157.2333333333333,14063.266666666666
gpt,GPT-5,gpt,large,False,poc,Simples,30,1.222222222222222,1.0333333333333334,1.411111111111111,1.8222222222222222,1.7444444444444442,1.9,1.844444444444444,1.7666666666666666,1.9111111111111112,1.62962962962963,1.5481481481481483,1.7074074074074077,1.6333333333333333,1.8,1.4555555555555553,0.9666666666666667,0.9,1.0,1.0,1.0,1.0,0.45,0.25,0.65,0.825,0.675,0.95,0.9,0.75,1.0,8.425,7.484333333333335,9.432675000000001,7.54,10917.133333333333,450.06666666666666,11367.2
qwen-35b,Qwen 3.5 35B-A3B,qwen,small,False,full,Completa,30,1.3666666666666667,1.1555555555555554,1.5777777777777777,1.5444444444444445,1.4111111111111112,1.666666666666667,1.8666666666666667,1.7111111111111112,1.9666666666666666,1.5925925925925928,1.4814814814814814,1.6962962962962962,1.6444444444444446,1.6333333333333335,1.4999999999999998,0.9333333333333333,0.8333333333333334,1.0,1.0,1.0,1.0,0.7,0.5,0.9,0.675,0.4914875000000001,0.842,0.8,0.6,0.95,101.39933333333335,82.05908333333332,122.00184999999998,95.785,34212.1,10414.8,44626.9
qwen-35b,Qwen 3.5 35B-A3B,qwen,small,False,no-synthesizer,Sem Síntese,30,1.3555555555555556,1.1555555555555554,1.5444444444444445,1.6333333333333333,1.4888888888888887,1.7666666666666664,1.811111111111111,1.6777777777777778,1.911388888888885,1.6000000000000003,1.4851851851851854,1.7037037037037037,1.7,1.488888888888889,1.6111111111111114,0.9666666666666667,0.9,1.0,1.0,1.0,1.0,0.75,0.55,0.9,0.675,0.5,0.85,0.8,0.6,0.95,27.773,23.024208333333334,32.817366666666665,23.165,14869.1,2861.4,17730.5
qwen-35b,Qwen 3.5 35B-A3B,qwen,small,False,no-verifier,Sem Verificação,30,1.3888888888888888,1.1888888888888889,1.5777777777777777,1.5777777777777773,1.4555555555555553,1.6999999999999995,1.8888888888888888,1.7777777777777777,1.9666666666666666,1.6185185185185182,1.5148148148148148,1.711203703703703,1.6333333333333333,1.588888888888889,1.6333333333333333,0.9333333333333333,0.8333333333333334,1.0,1.0,1.0,1.0,0.7,0.5,0.9,0.675,0.5,0.85,0.8,0.6,0.95,25.615000000000002,21.94430833333334,29.25000833333333,24.795,15375.933333333332,2207.9333333333334,17583.866666666665
qwen-35b,Qwen 3.5 35B-A3B,qwen,small,False,poc,Simples,30,1.1444444444444444,0.9111111111111111,1.3666666666666667,1.6999999999999997,1.5999999999999999,1.8,1.5333333333333334,1.3888888888888886,1.6555555555555552,1.459259259259259,1.3555555555555558,1.551851851851852,1.5,1.5111111111111113,1.3666666666666667,0.9666666666666667,0.9,1.0,1.0,1.0,1.0,0.65,0.45,0.85,0.7,0.525,0.875,0.8,0.6,0.95,18.229333333333333,15.554933333333336,21.05773333333333,17.32,12309.866666666667,2284.9333333333334,14594.8
qwen-122b,Qwen 3.5 122B-A10B,qwen,medium,False,full,Completa,30,1.3777777777777778,1.1444444444444444,1.6,1.533333333333333,1.411111111111111,1.6444444444444444,1.9222222222222223,1.8666666666666667,1.9666666666666666,1.611111111111111,1.5037037037037035,1.7111111111111112,1.5666666666666667,1.722222222222222,1.5444444444444445,0.9333333333333333,0.8333333333333334,1.0,1.0,1.0,1.0,0.65,0.45,0.85,0.6849999999999999,0.51,0.85,0.85,0.7,1.0,92.26566666666666,74.16101666666667,111.50008333333332,77.285,36623.333333333336,11122.066666666668,47745.4
qwen-122b,Qwen 3.5 122B-A10B,qwen,medium,False,no-synthesizer,Sem Síntese,30,1.3777777777777775,1.1555555555555557,1.577777777777778,1.722222222222222,1.611111111111111,1.833333333333333,1.8888888888888888,1.7999999999999998,1.9666666666666666,1.6629629629629632,1.5666666666666664,1.7555555555555553,1.6777777777777778,1.7222222222222225,1.588888888888889,0.9666666666666667,0.9,1.0,1.0,1.0,1.0,0.65,0.45,0.85,0.6599999999999999,0.485,0.825,0.825,0.65,0.975,23.69366666666667,21.37351666666667,25.93778333333333,24.735,14996.8,2757.4333333333334,17754.233333333334
